Transaction ID,Customer ID,Transaction Date,Transaction Amount,Merchant,Location,Transaction Type,Card Type,Is Fraudulent
90023589-2ef8-43e7-807a-b4ab92fcc2a4,5d7358c2-ede9-488a-96e4-fa78a9d9d6db,2024-03-05 15:53:49,231.55,Torres-Sanchez,West Adam,Online Purchase,MasterCard,Yes
3eb2e762-9525-4c33-a022-a47e3da3ec5d,0aac2ab4-f920-428a-939a-78ff9858c13d,2024-07-04 01:00:25,1485.69,"Brandt, Ross and Butler",New Benjaminbury,In-Store Purchase,Discover,Yes
12d58e99-92d7-46f3-8ac0-e01ac86c15ec,4d6ee059-5df1-4323-8484-2f04aae3d6b3,2024-01-14 00:18:53,497.33,Delgado LLC,Lake Jamieberg,ATM Withdrawal,Amex,Yes
e9cac917-d336-4629-9baa-f8c19691cb80,d7709d08-fa3c-419c-b2fb-bc9ef2997ef9,2023-12-09 03:06:54,287.68,"Smith, Mcdonald and Cruz",Lake James,In-Store Purchase,Visa,Yes
acb39efa-d3c7-4bae-9b6c-9cda5ed79503,e505e3e6-7982-4c7f-b0b1-26a0b6d59d31,2024-02-17 03:22:55,213.97,Huff Ltd,Lake Anthony,In-Store Purchase,Discover,No
96b01be7-12f1-4b3c-9838-dd1692714238,aadf4d53-53a5-40c3-a51f-36bfe7fdc5f1,2024-06-09 21:23:38,1483.93,"Williams, Johnson and Watson",West Connieport,ATM Withdrawal,Visa,Yes
7b11ab2d-dc2a-442b-867c-552e5731f31d,bda79f46-44cb-41af-839c-993c098ed184,2024-05-04 20:18:24,1095.28,Dougherty-Cross,North Richardmouth,In-Store Purchase,Amex,No
0b4e3edc-cf1d-4ea4-a992-0d42c01f4b57,989dd1ef-c5ef-44bc-ab85-db523ed0b2c3,2023-10-06 07:20:59,1185.08,"Sanders, Calderon and Walker",Josephville,In-Store Purchase,Visa,No
3f6be2c8-580f-4dc8-b966-4f57756e032b,b88c01a7-477b-494f-987a-703310f4b68d,2024-06-13 05:27:29,73.25,Perez and Sons,Wagnerborough,Online Purchase,Discover,Yes
b0c2b729-2496-4acc-8ac8-685bc01f8269,ac5e1567-70ef-40cb-b02d-3c8fc12dd10c,2024-06-11 22:43:09,196.45,Williams Inc,Orozcoview,ATM Withdrawal,MasterCard,No
fc69f74b-48ff-4004-8c14-54358ce7f710,663f58f8-0a88-422e-9704-cac64e785d08,2024-02-23 17:07:46,473.0,"Chan, Martinez and Rodriguez",Wrightmouth,ATM Withdrawal,Visa,Yes
9659a15d-681d-4330-8e59-d108c9aea219,863a0515-1773-4a1a-81d0-de500d6fbe01,2023-10-02 06:34:01,1208.02,"Tapia, Wright and Cohen",Ericville,In-Store Purchase,Discover,No
a79347de-5ee8-4318-a938-5938ccf864b9,000c71f1-cb97-4c3b-ba1e-59123a8dfb41,2024-08-17 08:15:37,1126.88,Bishop-Moss,Port Emma,In-Store Purchase,Amex,Yes
878ac607-6070-4537-919e-dd6366a35021,b93b4eb3-d749-4d12-a9fd-1c7fd8f7a1d8,2024-02-08 19:32:08,1434.88,Jones Ltd,South Brittanyshire,Online Purchase,Discover,No
73aa2a63-9871-40d2-9509-255480eb0885,2ab57bf2-ddc9-44dc-a907-b8d86992b367,2024-03-14 01:35:46,1405.64,"Hood, Jackson and Lynch",Lake Christopherhaven,Online Purchase,Amex,Yes
ba935a06-5a78-4367-9ef2-143f99c2c056,c8be05ae-5114-4a21-8aa6-4ff25d9872a5,2024-04-16 06:38:38,844.84,Christensen Ltd,Ellisview,ATM Withdrawal,Discover,Yes
f744326e-2958-4fa7-a86e-092aa544d3fb,fc7b3e46-e53c-4ea9-aadc-9cd3bdbe6f52,2024-07-25 01:13:54,903.93,Davidson Group,Lake Theresa,In-Store Purchase,Discover,Yes
4bdae710-ff3f-497c-881f-cae5b0ec6ab5,1ae24a52-b727-4c5b-a2ba-68ecac515e82,2024-07-04 19:16:23,563.6,Reynolds Inc,Rogersshire,Online Purchase,MasterCard,Yes
d4ad95c4-4cdc-4486-b02c-09997cc52b7d,a3e366e1-d3ba-4590-b9d0-5c174adb9f34,2024-05-22 20:31:20,1739.91,"Vega, Doyle and Johnson",West Davidfort,In-Store Purchase,Visa,No
575e6ffa-c3e8-48ab-863c-c27e58e07919,eede0cbd-3347-4567-9dff-6e32a0436820,2023-10-24 01:28:18,1520.03,Kirk-Medina,Gonzalesbury,ATM Withdrawal,MasterCard,No
87d60fdf-8e16-4155-a68b-269839b01433,e4ad8f51-f3ba-4110-967e-1f14f052d621,2024-02-13 17:46:49,327.72,"Harris, Wood and Huynh",Sandraport,In-Store Purchase,Visa,No
edaeea3e-2741-4655-9cd3-f2e99cb2ca80,559fe3f9-5fcc-4c83-b2d1-4c21f66abb23,2023-11-27 00:01:10,851.0,Huff-Bowman,Blackshire,Online Purchase,MasterCard,Yes
2036d39a-a57b-47df-bdf7-399942981874,0e1d4818-2c1f-447b-9af4-5cb43b93874d,2024-02-07 05:41:56,562.96,Hernandez-Yoder,Huntville,In-Store Purchase,Amex,Yes
2a4b82a5-8a21-4ea0-91c4-159ba808ab3e,607c6e2a-7c18-41af-9f99-35e5fd6ff405,2024-06-28 03:05:20,438.47,"Palmer, Barnes and Hall",South Ashley,Online Purchase,Discover,Yes
087dc602-0a19-45c6-932e-4bef659787fb,f1e40e75-c3a9-4e06-aaea-6106d9efa9c4,2024-04-07 08:02:25,1529.35,Weber Ltd,Burkefurt,ATM Withdrawal,Discover,No
334cdef3-c46f-4e6f-b6df-06079d3201c1,53e3bf53-9962-45e0-b77d-1a43f91d1179,2024-01-19 05:09:39,213.4,Calderon LLC,Longview,Online Purchase,Visa,No
aa516708-2ac0-4fdb-938b-365e479785e6,fcf45b1f-c283-4cf4-9742-71cff31a9f95,2024-01-07 19:52:17,766.06,Mccann-Gonzalez,Valerieville,In-Store Purchase,Amex,Yes
f2eeb120-7256-475c-aa5a-f796cf4e1c34,1f852842-8d0e-4539-8b97-5e75402d9772,2024-04-01 06:05:23,724.37,"Olson, Rivera and Harvey",Rogermouth,In-Store Purchase,MasterCard,No
ae295bc7-ead4-4b00-afbd-3da1b056b2b0,99303aed-8057-42cc-b323-dedb926463d3,2023-11-14 16:01:36,694.47,"Hall, Phillips and Bailey",Port Saraville,ATM Withdrawal,Amex,No
9d677630-eff0-4275-9269-aef28cb46016,14001e53-34fa-43c5-9bd7-a44cac48a1d7,2024-05-24 01:56:54,536.4,Ruiz-Smith,East Melindaside,ATM Withdrawal,Visa,Yes
b98f436a-f6a8-41b3-91a1-7f1a0a232663,c590d02a-ee61-4069-b605-db9b7e24db45,2024-08-05 06:35:38,96.47,Carter-Riley,Jefferymouth,In-Store Purchase,Discover,Yes
c8434cfd-c222-483e-b61b-7742ea2634e9,013ed398-4147-4ce3-aaf9-76e4a6ab481a,2024-05-30 19:35:54,924.26,Wise Ltd,North Christopher,ATM Withdrawal,MasterCard,Yes
2e01b989-ff6f-4456-a76a-84dc96da43e0,59c4845d-21f0-42af-bd80-7413ddbc503c,2024-08-12 07:12:20,258.4,Stafford-Thompson,East Earlborough,Online Purchase,Discover,Yes
6d4e5848-8e17-444c-b2a0-63c0890e9d52,15f47517-4ec9-45df-9250-85ad5de81757,2023-10-10 17:14:54,1845.37,"Murphy, Rodriguez and Cooper",Vargasview,In-Store Purchase,MasterCard,No
063646d8-ec0e-465d-8db5-afef554359bd,179e361d-c91c-4516-a6e7-5bc54fd9f9b5,2024-04-21 06:33:24,166.81,Maxwell-Mitchell,South Amandamouth,ATM Withdrawal,Amex,No
5e3646a0-a4fe-400d-8e76-39a48650b608,2fe7fdae-afbe-43dd-b039-a8d38bc74f10,2023-09-25 01:30:40,593.42,"Burton, Smith and Smith",New Dianebury,ATM Withdrawal,Visa,Yes
2df9d6d1-772a-4542-9ec8-80aefcf823c0,7eaf43ba-3e47-4d55-ba71-17f39840f0e3,2024-06-20 23:32:30,1260.99,Davis-Porter,Lisaport,Online Purchase,Discover,Yes
8f169b3e-c12b-4a11-a524-769c1412b99a,09863cd4-61f2-49e2-9ce2-6d85c6242856,2023-09-24 22:51:10,1772.05,Wilkinson-Smith,Toniland,ATM Withdrawal,Discover,No
e426dd07-64f7-4e6b-8ba9-257f4f8fa40a,a183e205-0d73-4ae2-bad5-e8c73046e38b,2023-10-05 23:25:28,729.65,Cuevas LLC,Kennedyport,Online Purchase,MasterCard,Yes
5c01d8f5-b4de-49db-a9f6-e4a14d450511,e6ba182d-c13f-4838-95fd-60aac8006803,2024-06-04 19:48:02,392.65,Williams Group,South Cliffordchester,ATM Withdrawal,Visa,No
5fdda9db-78e2-4337-8596-261c8cc9d5a2,f1d5342a-67ae-4bbd-b7d9-7ffaf29f0adf,2023-09-04 12:38:57,148.41,Miller-Brown,Lake Christianfurt,In-Store Purchase,MasterCard,Yes
7576c00a-6ca9-4fea-9e62-9e43bc719004,b14f2abd-dee0-422a-bb95-acdd0ddb85e2,2023-08-30 22:51:45,1325.91,"Hanson, Gentry and Jones",Lake Mary,In-Store Purchase,Amex,No
8f5768cd-79fd-44a3-b6b9-6a12900bb102,71a74b03-0523-4f28-894e-6489e63b3456,2024-05-04 22:50:06,1548.41,"Howard, Harrell and Mills",Lake Joshuaside,Online Purchase,Discover,No
dd93e1f1-342d-4ed8-a8a1-b9407a62eb3c,7bbf68ab-ea9e-4e72-97d3-efca5bc857c3,2023-10-08 00:31:53,1970.59,Jones Inc,South Kellyborough,ATM Withdrawal,Amex,Yes
ed811448-f243-4d0d-b625-2ddfc167540b,992a4811-4cef-4a55-a893-e041ee4714e7,2024-01-02 17:49:22,1712.08,Jones-Frey,East Ralphton,Online Purchase,Visa,Yes
ac88c655-fbee-4aac-84b9-896fe637d39b,06ce4994-ca15-48bf-8e3c-d6133e768772,2023-11-27 06:06:49,1734.3,Ray-Rowe,Leonardstad,Online Purchase,Visa,No
74d2aed7-c323-4ce7-abb5-04291dd074a4,58930b72-c0ac-4aa5-90c3-8b5a3a8d500b,2023-11-02 10:16:41,766.45,"Newman, Chapman and Tucker",West Donald,Online Purchase,MasterCard,Yes
def6aa74-01fb-4148-89f2-4a22630583f4,31368004-5617-4dc6-aac7-d6ad35a2ed3a,2024-03-07 02:26:53,912.29,Pierce Inc,East Kevin,ATM Withdrawal,Discover,Yes
